filename,EST_CCA,EST_CCP,EST_OCA+OCAG,EST_DRI,GT_DRI
 SPR  16  -  A1.jpg ,1.0,0.0,1.5,3.25,16.0
 SPR  16  -  A2.jpg ,2.0,4.0,1.5,15.5,4.5
 SPR  16  -  A3.jpg ,3.5,4.0,1.0,14.875,9.5
 SPR  16  -  A4.jpg ,5.0,2.5,0.0,8.75,16.5
 SPR  16  -  A5.jpg ,4.0,1.5,6.0,17.5,11.5
 SPR  16  -  A6.jpg ,2.5,3.0,1.5,12.625,13.5
 SPR  16  -  A7.jpg ,2.5,5.5,1.5,20.125,14.75
 SPR  16  -  A8.jpg ,1.5,2.0,8.5,23.375,37.5
 SPR  16  -  A9.jpg ,0.0,2.0,4.0,14.0,14.5
 SPR  16  -  A10.jpg ,1.5,4.0,4.5,21.375,12.5
 SPR  16  -  A11.jpg ,4.0,0.0,4.0,9.0,25.75
 SPR  16  -  A12.jpg ,4.5,0.0,2.0,5.125,3.0
 SPR  16  -  A13.jpg ,3.5,2.5,1.5,11.375,6.75
 SPR  16  -  A14.jpg ,2.0,1.5,2.0,9.0,29.25
 SPR  16  -  A15.jpg ,3.0,1.5,2.0,9.25,8.5
 SPR  16  -  A16.jpg ,0.0,2.0,4.0,14.0,18.5
 SPR  16  -  A17.jpg ,4.0,1.5,0.0,5.5,0.25
 SPR  16  -  A18.jpg ,4.5,2.5,1.5,11.625,3.75
 SPR  16  -  B1.jpg ,1.0,1.5,6.0,16.75,24.0
 SPR  16  -  B2.jpg ,14.5,0.0,8.0,19.625,23.5
 SPR  16  -  B3.jpg ,5.5,2.5,0.5,9.875,3.0
 SPR  16  -  B4.jpg ,2.5,5.0,0.0,15.625,12.75
 SPR  16  -  B5.jpg ,3.0,1.5,2.0,9.25,26.0
 SPR  16  -  B6.jpg ,7.0,1.0,2.0,8.75,11.0
 SPR  16  -  B7.jpg ,4.5,3.0,4.0,18.125,33.25
 SPR  16  -  B8.jpg ,2.0,3.5,5.0,21.0,23.5
 SPR  16  -  B9.jpg ,3.5,2.5,3.0,14.375,9.25
 SPR  16  -  B10.jpg ,1.5,0.0,9.0,18.375,5.25
 SPR  16  -  B11.jpg ,1.0,3.5,5.0,20.75,22.25
 SPR  16  -  B12.jpg ,3.0,0.0,7.0,14.75,20.0
 SPR  16  -  B13.jpg ,0.0,3.5,2.5,15.5,5.25
 SPR  16  -  B14.jpg ,4.5,0.5,3.0,8.625,10.5
 SPR  16  -  B15.jpg ,5.5,0.0,4.5,10.375,17.5
 SPR  16  -  B16.jpg ,6.0,2.0,4.5,16.5,5.25
 SPR  16  -  B17.jpg ,4.0,5.5,2.5,22.5,6.75
 SPR  16  -  B18.jpg ,5.0,0.0,2.5,6.25,20.0
 SPR  16  -  C1.jpg ,4.5,0.5,4.0,10.625,19.75
 SPR  16  -  C2.jpg ,4.0,0.0,18.0,37.0,15.25
 SPR  16  -  C3.jpg ,3.5,0.0,4.0,8.875,5.75
 SPR  16  -  C4.jpg ,11.0,0.0,0.0,2.75,1.25
 SPR  16  -  C5.jpg ,5.5,2.0,2.5,12.375,8.75
 SPR  16  -  C6.jpg ,1.5,3.0,3.5,16.375,12.0
 SPR  16  -  C7.jpg ,3.5,1.0,9.0,21.875,10.25
 SPR  16  -  C8.jpg ,2.0,4.0,5.0,22.5,13.5
 SPR  16  -  C9.jpg ,3.0,0.5,5.0,12.25,5.5
 SPR  16  -  C10.jpg ,0.5,1.5,7.0,18.625,2.75
 SPR  16  -  C11.jpg ,3.0,3.0,4.0,17.75,5.0
 SPR  16  -  C12.jpg ,7.0,1.0,0.0,4.75,0.25
 SPR  16  -  C13.jpg ,3.5,3.5,1.5,14.375,1.25
 SPR  16  -  C14.jpg ,1.5,3.5,3.0,16.875,0.5
 SPR  16  -  C15.jpg ,1.0,1.0,2.5,8.25,8.0
 SPR  16  -  C16.jpg ,2.5,6.0,0.0,18.625,8.0
 SPR  16  -  C17.jpg ,4.5,1.0,4.5,13.125,13.25
 SPR  16  -  C18.jpg ,1.0,1.5,3.5,11.75,5.0
 SPR  16  -  D1.jpg ,6.0,4.5,3.0,21.0,9.25
 SPR  16  -  D2.jpg ,0.0,4.5,5.5,24.5,6.0
 SPR  16  -  D3.jpg ,5.0,3.5,1.0,13.75,19.75
 SPR  16  -  D4.jpg ,2.0,3.5,3.0,17.0,2.5
 SPR  16  -  D5.jpg ,0.0,3.0,7.0,23.0,5.75
 SPR  16  -  D6.jpg ,5.0,0.0,7.0,15.25,6.75
 SPR  16  -  D7.jpg ,2.0,1.5,3.5,12.0,6.0
 SPR  16  -  D8.jpg ,1.5,0.0,5.5,11.375,16.5
 SPR  16  -  D9.jpg ,4.0,3.0,3.0,16.0,4.0
 SPR  16  -  D10.jpg ,2.0,1.0,5.5,14.5,3.75
 SPR  16  -  D11.jpg ,2.0,2.0,7.0,20.5,5.75
 SPR  16  -  D12.jpg ,2.0,3.5,1.0,13.0,5.75
 SPR  16  -  D13.jpg ,2.5,7.5,2.5,28.125,0.25
 SPR  16  -  D14.jpg ,7.0,0.5,2.0,7.25,16.75
 SPR  16  -  D15.jpg ,6.0,3.5,1.0,14.0,9.5
 SPR  16  -  D16.jpg ,3.0,2.5,1.0,10.25,28.25
 SPR  16  -  D17.jpg ,5.5,0.5,2.5,7.875,6.0
 SPR  16  -  D18.jpg ,5.5,0.0,4.0,9.375,11.25
 SPR  16  -  E1.jpg ,3.0,0.0,3.5,7.75,7.75
 SPR  16  -  E2.jpg ,2.0,3.5,2.5,16.0,13.5
 SPR  16  -  E3.jpg ,6.0,1.0,0.0,4.5,16.75
 SPR  16  -  E4.jpg ,3.0,0.0,1.0,2.75,7.5
 SPR  16  -  E6.jpg ,5.5,0.5,1.5,5.875,19.25
