filename,GT_DRI,EST_DRI
 SPR005  -  A2.png ,0.25,5.625
 SPR005  -  A3.png ,11.5,1.75
 SPR005  -  A4.png ,2.25,9.75
 SPR005  -  A5.png ,9.25,65.125
 SPR005  -  A6.png ,3.5,5.0
 SPR005  -  A7.png ,0.0,10.25
 SPR005  -  A8.png ,0.5,19.5
 SPR005  -  A9.png ,2.5,4.5
 SPR005  -  A10.png ,4.5,15.5
 SPR005  -  A11.png ,5.25,8.375
 SPR005  -  A14.png ,0.25,9.0
 SPR005  -  A15.png ,6.75,5.5
 SPR005  -  A18.png ,9.0,19.25
 SPR005  -  B1.png ,7.0,6.875
 SPR005  -  B2.png ,2.75,10.625
 SPR005  -  B3.png ,2.25,9.375
 SPR005  -  B4.png ,0.0,7.125
 SPR005  -  B5.png ,2.25,1.75
 SPR005  -  B6.png ,0.25,5.75
 SPR005  -  B7.png ,5.0,10.25
 SPR005  -  B8.png ,6.75,1.625
 SPR005  -  B9.png ,2.25,8.0
 SPR005  -  B10.png ,0.75,3.125
 SPR005  -  B11.png ,2.25,79.75
 SPR005  -  B12.png ,5.0,6.125
 SPR005  -  B13.png ,0.25,102.625
 SPR005  -  B14.png ,1.0,14.875
 SPR005  -  B15.png ,4.0,3.375
 SPR005  -  B16.png ,0.25,8.5
 SPR005  -  B17.png ,2.5,16.0
 SPR005  -  B18.png ,4.25,16.875
 SPR005  -  B19.png ,4.5,8.5
 SPR005  -  C1.png ,4.75,4.875
 SPR005  -  C2.png ,0.5,6.625
 SPR005  -  C3.png ,2.0,19.375
 SPR005  -  C4.png ,2.0,13.625
 SPR005  -  C5.png ,0.5,5.75
 SPR005  -  C6.png ,5.0,7.25
 SPR005  -  C7.png ,18.5,14.375
 SPR005  -  C8.png ,6.75,9.25
 SPR005  -  C9.png ,2.0,71.25
 SPR005  -  C10.png ,2.5,5.5
 SPR005  -  C11.png ,0.75,26.5
 SPR005  -  C12.png ,2.5,8.875
 SPR005  -  C13.png ,7.0,6.875
 SPR005  -  C14.png ,4.25,3.875
 SPR005  -  C15.png ,2.5,9.125
 SPR005  -  C16.png ,2.25,5.5
 SPR005  -  C17.png ,5.75,2.25
 SPR005  -  C18.png ,2.5,4.375
 SPR005  -  C19.png ,0.25,46.125
 SPR005  -  D1.png ,0.75,1.5
 SPR005  -  D2.png ,5.0,2.5
 SPR005  -  D3.png ,0.0,13.75
 SPR005  -  D5.png ,0.75,13.875
 SPR005  -  D6.png ,4.75,71.25
 SPR005  -  D7.png ,2.25,8.375
 SPR005  -  D8.png ,6.0,18.5
 SPR005  -  D9.png ,2.25,7.375
 SPR005  -  D11.png ,0.0,6.0
 SPR005  -  D12.png ,4.25,8.125
 SPR005  -  D13.png ,2.0,2.125
 SPR005  -  D14.png ,0.0,6.5
 SPR005  -  D15.png ,2.25,32.625
 SPR005  -  D16.png ,0.5,3.75
 SPR005  -  D17.png ,4.0,16.625
 SPR005  -  D18.png ,0.75,1.875
 SPR005  -  D19.png ,0.25,9.75
 SPR005  -  E1.png ,1.0,6.875
 SPR005  -  E2.png ,2.5,11.875
 SPR005  -  E3.png ,6.0,15.375
 SPR005  -  E4.png ,0.25,19.625
 SPR005  -  E5.png ,3.25,7.5
 SPR005  -  E6.png ,4.25,6.5
 SPR005  -  E7.png ,3.5,6.375
 SPR005  -  E8.png ,2.25,8.875
 SPR005  -  E9.png ,2.0,5.375
 SPR005  -  E10.png ,0.0,6.25
 SPR005  -  E11.png ,1.5,5.25
 SPR005  -  E12.png ,3.5,8.75
 SPR005  -  E13.png ,0.25,15.125
 SPR005  -  E14.png ,2.75,11.375
 SPR005  -  E15.png ,0.0,8.0
 SPR005  -  E16.png ,0.75,6.0
 SPR005  -  E17.png ,0.0,2.875
 SPR005  -  E18.png ,0.25,9.25
 SPR005  -  E19.png ,4.75,16.375
 SPR005  -  F1.png ,4.0,16.375
 SPR005  -  F2.png ,2.5,11.5
 SPR005  -  F3.png ,0.5,14.75
 SPR005  -  F4.png ,0.0,8.25
 SPR005  -  F5.png ,0.0,2.375
 SPR005  -  F6.png ,4.25,2.0
 SPR005  -  F7.png ,5.5,1.875
 SPR005  -  F8.png ,4.0,74.75
 SPR005  -  F9.png ,0.75,6.0
 SPR005  -  F10.png ,4.25,7.25
 SPR005  -  F11.png ,5.5,3.625
 SPR005  -  F12.png ,7.25,6.875
 SPR005  -  F13.png ,2.5,3.75
 SPR005  -  F14.png ,2.25,27.5
 SPR005  -  F15.png ,3.0,6.125
 SPR005  -  F16.png ,0.5,10.25
 SPR005  -  F17.png ,2.25,2.875
 SPR005  -  F18.png ,4.0,2.75
 SPR005  -  F19.png ,2.25,15.25
 SPR005  -  G1.png ,6.75,3.375
 SPR005  -  G2.png ,0.5,8.375
 SPR005  -  G3.png ,2.25,6.375
 SPR005  -  G4.png ,0.0,12.375
 SPR005  -  G5.png ,0.25,7.75
 SPR005  -  G6.png ,4.5,7.625
 SPR005  -  G7.png ,0.25,8.625
 SPR005  -  G8.png ,4.25,5.375
 SPR005  -  G9.png ,0.0,2.5
 SPR005  -  G10.png ,0.75,3.125
 SPR005  -  G11.png ,0.5,8.0
 SPR005  -  G12.png ,12.25,64.25
 SPR005  -  G13.png ,0.0,24.25
 SPR005  -  G14.png ,6.0,62.875
 SPR005  -  G15.png ,6.25,2.375
 SPR005  -  G16.png ,0.0,5.0
 SPR005  -  G17.png ,4.0,4.25
 SPR005  -  G18.png ,6.25,11.25
 SPR005  -  G19.png ,2.5,4.0
 SPR005  -  H1.png ,2.75,11.25
 SPR005  -  H2.png ,0.25,13.125
 SPR005  -  H3.png ,0.25,10.25
 SPR005  -  H4.png ,0.0,6.25
 SPR005  -  H5.png ,3.0,11.375
 SPR005  -  H6.png ,0.25,9.25
 SPR005  -  H7.png ,0.25,3.125
 SPR005  -  H8.png ,2.0,4.125
 SPR005  -  H9.png ,3.5,2.875
 SPR005  -  H10.png ,0.5,12.875
 SPR005  -  H11.png ,0.0,2.25
 SPR005  -  H12.png ,2.5,6.625
 SPR005  -  H13.png ,2.25,2.125
 SPR005  -  H14.png ,0.25,2.75
 SPR005  -  H15.png ,2.75,8.0
 SPR005  -  H16.png ,8.0,11.5
 SPR005  -  H17.png ,6.5,51.75
 SPR005  -  H18.png ,1.0,4.625
 SPR005  -  H19.png ,3.0,2.25
 SPR005  -  I1.png ,0.25,57.125
 SPR005  -  I2.png ,0.0,4.625
 SPR005  -  I3.png ,2.5,3.875
 SPR005  -  I4.png ,4.5,11.75
 SPR005  -  I5.png ,1.0,4.625
 SPR005  -  I6.png ,2.0,5.75
 SPR005  -  I7.png ,0.75,12.75
 SPR005  -  I8.png ,5.25,8.75
 SPR005  -  I9.png ,0.0,3.375
 SPR005  -  I10.png ,2.25,9.0
 SPR005  -  I11.png ,0.5,10.125
 SPR005  -  I12.png ,0.0,9.625
 SPR005  -  I13.png ,2.0,7.125
 SPR005  -  I14.png ,13.75,3.625
 SPR005  -  I15.png ,0.0,1.875
