filename,GT_DRI,EST_DRI
 SPR11  -  A1.png ,0.,14.375
 SPR11  -  A2.png ,4.75,9.875
 SPR11  -  A3.png ,13.5,7.75
 SPR11  -  A4.png ,8.5,5.75
 SPR11  -  A5.png ,5.0,5.75
 SPR11  -  A6.png ,23.75,2.375
 SPR11  -  A7.png ,4.25,15.125
 SPR11  -  A8.png ,4.0,18.625
 SPR11  -  A9.png ,2.5,13.5
 SPR11  -  A10.png ,20.75,6.25
 SPR11  -  A11.png ,4.0,8.375
 SPR11  -  A12.png ,6.0,5.5
 SPR11  -  A13.png ,8.75,4.75
 SPR11  -  A14.png ,16.75,3.25
 SPR11  -  A15.png ,4.75,6.5
 SPR11  -  A16.png ,3.0,7.875
 SPR11  -  A17.png ,4.25,10.25
 SPR11  -  A18.png ,4.25,4.25
 SPR11  -  B1.png ,0.5,2.25
 SPR11  -  B2.png ,15.5,6.125
 SPR11  -  B3.png ,0.0,6.0
 SPR11  -  B4.png ,4.75,5.0
 SPR11  -  B5.png ,4.5,4.875
 SPR11  -  B6.png ,4.25,7.5
 SPR11  -  B7.png ,4.75,5.25
 SPR11  -  B8.png ,7.0,11.375
 SPR11  -  B9.png ,4.75,4.375
 SPR11  -  B10.png ,8.0,2.625
 SPR11  -  B11.png ,0.25,8.125
 SPR11  -  B12.png ,10.0,11.625
 SPR11  -  B13.png ,0.0,14.25
 SPR11  -  B14.png ,4.25,13.375
 SPR11  -  B15.png ,2.75,2.875
 SPR11  -  B16.png ,2.5,7.875
 SPR11  -  B17.png ,3.5,15.625
 SPR11  -  B18.png ,0.0,2.375
 SPR11  -  B19.png ,0.0,5.625
 SPR11  -  C1.png ,6.75,11.875
 SPR11  -  C2.png ,5.0,7.875
 SPR11  -  C3.png ,4.0,3.5
 SPR11  -  C4.png ,0.0,2.625
 SPR11  -  C5.png ,2.0,2.25
 SPR11  -  C6.png ,0.75,4.125
 SPR11  -  C7.png ,3.25,9.0
 SPR11  -  C8.png ,2.0,3.125
 SPR11  -  C9.png ,8.25,5.625
 SPR11  -  C10.png ,3.75,2.5
 SPR11  -  C11.png ,9.25,42.25
 SPR11  -  C12.png ,5.0,5.875
 SPR11  -  C13.png ,2.25,4.0
 SPR11  -  C14.png ,1.0,3.75
 SPR11  -  C15.png ,2.75,25.875
 SPR11  -  C16.png ,0.75,2.125
 SPR11  -  C17.png ,0.75,6.875
 SPR11  -  C18.png ,8.0,2.75
 SPR11  -  C19.png ,3.0,2.0
 SPR11  -  D1.png ,3.0,1.375
 SPR11  -  D2.png ,2.0,10.375
 SPR11  -  D3.png ,4.75,3.25
 SPR11  -  D4.png ,6.5,5.375
 SPR11  -  D5.png ,0.5,9.625
 SPR11  -  D6.png ,12.0,20.875
 SPR11  -  D7.png ,0.0,4.125
 SPR11  -  D8.png ,2.0,2.625
 SPR11  -  D9.png ,4.25,14.125
 SPR11  -  D10.png ,3.0,5.875
 SPR11  -  D11.png ,6.0,4.5
 SPR11  -  D12.png ,3.0,1.625
 SPR11  -  D13.png ,4.5,6.375
 SPR11  -  D14.png ,0.5,1.5
 SPR11  -  D15.png ,2.5,4.5
 SPR11  -  D16.png ,0.25,1.5
 SPR11  -  D17.png ,0.5,15.25
 SPR11  -  D18.png ,5.25,19.5
 SPR11  -  D19.png ,4.25,2.125
 SPR11  -  E1.png ,2.25,13.875
 SPR11  -  E2.png ,14.5,6.875
 SPR11  -  E3.png ,12.5,4.0
 SPR11  -  E4.png ,7.5,11.25
 SPR11  -  E5.png ,1.0,12.25
 SPR11  -  E6.png ,15.0,13.125
 SPR11  -  E7.png ,0.25,3.75
 SPR11  -  E8.png ,0.0,5.875
 SPR11  -  E9.png ,4.0,5.375
 SPR11  -  E10.png ,0.0,7.75
 SPR11  -  E11.png ,4.0,2.125
 SPR11  -  E12.png ,0.0,2.625
 SPR11  -  E13.png ,2.0,2.5
 SPR11  -  E14.png ,2.0,3.25
 SPR11  -  E15.png ,4.75,9.625
 SPR11  -  E16.png ,0.25,10.5
 SPR11  -  E17.png ,2.0,15.75
 SPR11  -  E18.png ,4.0,6.5
 SPR11  -  E19.png ,0.75,8.75
 SPR11  -  F1.png ,10.25,11.25
 SPR11  -  F2.png ,0.25,6.25
 SPR11  -  F3.png ,14.0,10.875
 SPR11  -  F4.png ,4.5,3.875
 SPR11  -  F5.png ,6.5,5.75
 SPR11  -  F6.png ,7.25,5.125
 SPR11  -  F7.png ,5.0,11.625
 SPR11  -  F8.png ,2.0,6.75
 SPR11  -  F9.png ,4.25,3.0
 SPR11  -  F10.png ,8.5,10.0
 SPR11  -  F11.png ,4.25,3.375
 SPR11  -  F12.png ,3.0,2.5
 SPR11  -  F13.png ,8.25,3.5
 SPR11  -  F14.png ,6.75,4.25
 SPR11  -  F15.png ,0.75,4.375
 SPR11  -  F16.png ,2.25,5.5
 SPR11  -  F17.png ,8.75,8.5
 SPR11  -  F18.png ,0.5,7.0
 SPR11  -  F19.png ,2.0,2.125
 SPR11  -  G1.png ,22.0,5.75
 SPR11  -  G2.png ,0.0,10.5
 SPR11  -  G3.png ,10.0,4.625
 SPR11  -  G4.png ,1.0,4.375
 SPR11  -  G5.png ,2.25,4.75
 SPR11  -  G7.png ,8.25,9.75
 SPR11  -  G8.png ,2.5,4.375
 SPR11  -  G9.png ,6.75,4.625
 SPR11  -  G10.png ,2.25,12.875
 SPR11  -  G11.png ,0.75,9.875
 SPR11  -  G12.png ,4.5,14.0
 SPR11  -  G13.png ,10.5,8.375
 SPR11  -  G14.png ,13.75,3.0
 SPR11  -  G15.png ,0.25,3.5
 SPR11  -  G16.png ,6.5,8.75
 SPR11  -  G17.png ,20.25,3.125
 SPR11  -  G18.png ,6.5,6.75
 SPR11  -  G19.png ,4.75,12.125
 SPR11  -  H1.png ,0.25,2.0
 SPR11  -  H2.png ,8.0,6.125
 SPR11  -  H3.png ,7.75,10.5
 SPR11  -  H4.png ,4.5,7.5
 SPR11  -  H5.png ,5.75,6.75
 SPR11  -  H6.png ,0.25,13.125
 SPR11  -  H7.png ,0.5,4.375
 SPR11  -  H8.png ,0.0,3.0
 SPR11  -  H9.png ,0.5,2.25
 SPR11  -  H10.png ,8.5,5.75
 SPR11  -  H11.png ,8.0,5.125
 SPR11  -  H12.png ,0.25,5.25
 SPR11  -  H13.png ,2.0,7.875
 SPR11  -  H14.png ,2.0,3.5
 SPR11  -  H15.png ,0.25,6.25
 SPR11  -  H16.png ,0.0,3.125
 SPR11  -  H17.png ,6.0,2.75
 SPR11  -  H18.png ,2.5,4.125
 SPR11  -  H19.png ,0.0,11.625
 SPR11  -  I1.png ,0.0,4.375
 SPR11  -  I2.png ,1.25,9.0
 SPR11  -  I3.png ,10.25,7.125
 SPR11  -  I4.png ,2.25,3.75
 SPR11  -  I5.png ,17.5,4.375
 SPR11  -  I6.png ,2.75,9.25
 SPR11  -  I7.png ,2.25,8.375
 SPR11  -  I8.png ,2.0,3.25
 SPR11  -  I9.png ,0.0,8.0
 SPR11  -  I10.png ,0.75,4.125
 SPR11  -  I11.png ,0.25,4.75
 SPR11  -  I12.png ,8.0,11.375
 SPR11  -  I13.png ,13.0,6.625
 SPR11  -  I14.png ,0.5,4.5
 SPR11  -  I15.png ,6.0,6.625
 SPR11  -  I16.png ,4.0,2.75
 SPR11  -  I17.png ,0.5,3.625
 SPR11  -  I18.png ,11.25,8.625
 SPR11  -  I19.png ,11.0,6.875
